date,equity,open_positions_count,risk_utilization_pct,cash
2024-01-23 05:00:00,50000.0,0,0.0,50000.0
2024-01-24 05:00:00,50000.0,0,0.0,50000.0
2024-01-25 05:00:00,50000.0,0,0.0,50000.0
2024-01-26 05:00:00,50000.0,0,0.0,50000.0
2024-01-29 05:00:00,50000.0,0,0.0,50000.0
2024-01-30 05:00:00,50000.0,0,0.0,50000.0
2024-01-31 05:00:00,50000.0,0,0.0,50000.0
2024-02-01 05:00:00,50000.0,0,0.0,50000.0
2024-02-02 05:00:00,50000.0,0,0.0,50000.0
2024-02-05 05:00:00,50000.0,0,0.0,50000.0
2024-02-06 05:00:00,50000.0,0,0.0,50000.0
2024-02-07 05:00:00,50000.0,0,0.0,50000.0
2024-02-08 05:00:00,50000.0,0,0.0,50000.0
2024-02-09 05:00:00,50000.0,0,0.0,50000.0
2024-02-12 05:00:00,50000.0,0,0.0,50000.0
2024-02-13 05:00:00,50000.0,0,0.0,50000.0
2024-02-14 05:00:00,50000.0,0,0.0,50000.0
2024-02-15 05:00:00,50000.0,0,0.0,50000.0
2024-02-16 05:00:00,50000.0,0,0.0,50000.0
2024-02-20 05:00:00,50000.0,0,0.0,50000.0
2024-02-21 05:00:00,50000.0,0,0.0,50000.0
2024-02-22 05:00:00,50000.0,0,0.0,50000.0
2024-02-23 05:00:00,50000.0,0,0.0,50000.0
2024-02-26 05:00:00,50000.0,0,0.0,50000.0
2024-02-27 05:00:00,50000.0,0,0.0,50000.0
2024-02-28 05:00:00,50000.0,0,0.0,50000.0
2024-02-29 05:00:00,50000.0,0,0.0,50000.0
2024-03-01 05:00:00,50000.0,0,0.0,50000.0
2024-03-04 05:00:00,50000.0,0,0.0,50000.0
2024-03-05 05:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-06 05:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-07 05:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-08 05:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-11 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-12 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-13 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-14 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-15 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-18 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-19 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-20 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-21 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-22 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-25 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-26 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-27 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-03-28 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-01 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-02 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-03 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-04 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-05 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-08 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-09 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-10 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-11 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-12 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-15 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-16 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-17 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-18 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-19 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-22 04:00:00,50523.96254000001,0,0.0,50523.96254000001
2024-04-23 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-04-24 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-04-25 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-04-26 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-04-29 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-04-30 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-05-01 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-05-02 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-05-03 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-05-06 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-05-07 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-05-08 04:00:00,50699.81096015282,0,0.0,50699.81096015282
2024-05-09 04:00:00,51118.558820152815,0,0.0,51118.558820152815
2024-05-10 04:00:00,51118.558820152815,0,0.0,51118.558820152815
2024-05-13 04:00:00,51577.895247800596,1,0.009900822239813986,45895.895247800596
2024-05-14 04:00:00,51427.895247800596,1,0.009929700017697296,45895.895247800596
2024-05-15 04:00:00,51567.895247800596,1,0.009902742198383604,45895.895247800596
2024-05-16 04:00:00,51441.895247800596,1,0.00992699763281085,45895.895247800596
2024-05-17 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-20 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-21 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-22 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-23 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-24 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-28 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-29 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-30 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-05-31 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-03 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-04 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-05 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-06 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-07 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-10 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-11 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-12 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-13 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-14 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-17 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-18 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-20 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-21 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-24 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-25 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-26 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-27 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-06-28 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-07-01 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-07-02 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-07-03 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-07-05 04:00:00,51104.853247800595,0,0.0,51104.853247800595
2024-07-08 04:00:00,51102.300247800595,1,0.0007700827518364539,38337.300247800595
2024-07-09 04:00:00,51785.40761494042,3,0.011869729677806617,13416.527614940416
2024-07-10 04:00:00,52228.23198110331,5,0.014669545462666314,17.551981103309515
2024-07-11 04:00:00,54324.58479855368,4,0.017397160264283614,14734.929798553687
2024-07-12 04:00:00,54312.74506255369,3,0.008825932510585466,28005.955062553687
2024-07-15 04:00:00,54311.27346255368,2,0.008369782911885558,28513.853462553685
2024-07-16 04:00:00,54702.66965155368,0,0.0,54702.66965155368
2024-07-17 04:00:00,54654.63786611082,1,0.0042331592427643895,41145.447866110815
2024-07-18 04:00:00,54514.81726000492,1,0.009995914165994674,51515.62726000492
2024-07-19 04:00:00,54874.67434921574,3,0.023515097997360894,24284.39934921574
2024-07-22 04:00:00,55494.172782035195,4,0.023977870515055327,11125.512782035192
2024-07-23 04:00:00,55430.493341035195,3,0.014174628581560808,14097.123341035192
2024-07-24 04:00:00,54819.54246905198,3,0.028016156371089108,15902.547469051979
2024-07-25 04:00:00,55353.812429777834,3,0.024918235466765366,16605.017429777836
2024-07-26 04:00:00,55200.40377977784,2,0.015181964461088502,29645.658779777834
